Year,Month,QQQ_perc_chng,VTI_perc_chng,QQQ_price,VTI_price
2002,1,-1.03%,-0.87%,39.57,53
2002,2,-12.28%,-1.75%,38.400002,52.334999
2002,3,6.75%,3.68%,34.150002,51.439999
2002,4,-12.01%,-4.46%,35.799999,53
2002,5,-5.33%,-1.41%,31.67,50.689999
2002,6,-13.12%,-6.89%,30,50
2002,7,-8.62%,-8.34%,25.969999,46.5
2002,8,-1.51%,0.76%,23.74,42.299999
2002,9,-11.79%,-10.10%,23.059999,42.150002
2002,10,18.48%,7.49%,20.91,38.775002
2002,11,12.91%,6.00%,24.370001,41.049999
2002,12,-12.09%,-5.07%,28.42,44.540001
2003,1,0.29%,-2.77%,24.719999,41.700001
2003,2,2.95%,-1.54%,24.52,40.349998
2003,3,0.36%,0.76%,25.27,39.900002
2003,4,8.71%,8.61%,25.440001,39.924999
2003,5,8.52%,5.83%,27.440001,42.974998
2003,6,0.54%,1.62%,30.08,46.075001
2003,7,6.18%,2.33%,29.700001,46.099998
2003,8,5.00%,2.39%,31.690001,47.224998
2003,9,-2.91%,-1.06%,33.490002,48.619999
2003,10,8.51%,6.05%,32.610001,48.02
2003,11,0.57%,1.50%,35.43,50.895
2003,12,3.09%,4.00%,35.709999,51.650002
2004,1,1.67%,2.61%,36.66,53.695
2004,2,-1.35%,1.40%,37.200001,54.700001
2004,3,-2.00%,-1.03%,36.68,55.445
2004,4,-2.99%,-2.22%,35.810001,54.650002
2004,5,5.12%,1.45%,35,53.825001
2004,6,3.26%,2.03%,36.27,54.150002
2004,7,-7.55%,-3.56%,37.66,55.150002
2004,8,-2.49%,0.06%,34.610001,52.75
2004,9,3.29%,1.68%,33.93,53.224998
2004,10,5.01%,1.80%,35.450001,54.174999
2004,11,6.02%,4.74%,36.98,54.924999
2004,12,3.02%,3.43%,39.27,57.625
2005,1,-6.31%,-2.50%,40.09,59.400002
2005,2,-0.48%,2.09%,37.490002,57.549999
2005,3,-1.75%,-1.87%,37.369999,58.849998
2005,4,-4.35%,-2.20%,36.82,57.799999
2005,5,8.86%,3.88%,35.099998,56.275002
2005,6,-3.32%,0.76%,38.029999,58.349998
2005,7,7.61%,4.38%,36.860001,58.700001
2005,8,-1.52%,-1.09%,39.639999,61.174999
2005,9,1.23%,0.79%,39,60.424999
2005,10,-1.50%,-2.35%,39.540001,60.799999
2005,11,6.10%,4.62%,38.779999,59.424999
2005,12,-1.77%,0.02%,41.509998,62.32
2006,1,3.93%,3.22%,40.650002,61.855
2006,2,-2.14%,0.22%,41.740002,63.689999
2006,3,2.09%,2.05%,41.23,64.074997
2006,4,-0.19%,0.96%,42.150002,64.949997
2006,5,-7.24%,-3.22%,41.919998,65.735001
2006,6,-0.06%,0.13%,38.93,63.349998
2006,7,-4.31%,-0.12%,38.889999,63.5
2006,8,4.77%,2.30%,36.77,62.825001
2006,9,4.64%,2.26%,39.080002,64.824997
2006,10,4.75%,3.53%,40.599998,65.75
2006,11,3.43%,2.33%,42.73,68.345001
2006,12,-1.88%,1.20%,44,69.724998
2007,1,2.11%,1.86%,43.459999,70.574997
2007,2,-1.68%,-1.62%,44.27,71.599998
2007,3,0.52%,1.12%,42.549999,68.980003
2007,4,5.58%,4.02%,43.669998,70.989998
2007,5,3.15%,3.72%,45.970001,73.650002
2007,6,0.48%,-1.76%,47.580002,76.525002
2007,7,-0.15%,-3.53%,47.709999,74.75
2007,8,2.82%,1.47%,47.389999,72.035004
2007,9,5.25%,3.85%,48.93,73.050003
2007,10,7.04%,1.79%,51.450001,75.75
2007,11,-6.76%,-4.52%,54.68,76.110001
2007,12,-0.07%,-0.70%,51.09,73.43
2008,1,-11.89%,-6.17%,51.27,72.599998
2008,2,-4.83%,-2.50%,45.5,68.379997
2008,3,1.87%,-0.90%,42.919998,66.114998
2008,4,7.98%,4.89%,44.419998,66.324997
2008,5,5.93%,2.02%,47.23,68.699997
2008,6,-9.61%,-8.12%,49.919998,69.985001
2008,7,0.64%,-0.62%,44.810001,63.490002
2008,8,1.45%,1.46%,45.509998,63.860001
2008,9,-15.58%,-9.24%,46.869999,65.360001
2008,10,-15.47%,-17.48%,38.84,58.290001
2008,11,-11.46%,-8.01%,32.810001,48.060001
2008,12,2.28%,1.78%,28.5,43.09
2009,1,-2.29%,-8.05%,29.75,44.880001
2009,2,-5.26%,-10.53%,28.780001,40.540001
2009,3,10.32%,8.26%,27.120001,36.040001
2009,4,13.06%,10.99%,29.940001,39.110001
2009,5,3.21%,5.46%,34.27,43.93
2009,6,2.95%,0.36%,35.759998,46.959999
2009,7,8.44%,7.74%,36.560001,46.5
2009,8,1.47%,3.71%,39.869999,50.279999
2009,9,5.65%,4.14%,39.889999,51.419998
2009,10,-3.05%,-2.63%,42.099998,53.400002
2009,11,6.35%,5.69%,41,52.470001
2009,12,5.20%,2.86%,43.889999,55.68
2010,1,-6.47%,-3.57%,46.330002,56.860001
2010,2,4.60%,3.44%,42.900002,54.720001
2010,3,7.71%,6.40%,44.959999,56.490002
2010,4,2.24%,2.18%,48.360001,60.009998
2010,5,-7.39%,-7.88%,49.450001,61.150002
2010,6,-5.98%,-5.83%,45.43,55.43
2010,7,7.26%,7.02%,42.84,52.5
2010,8,-5.13%,-4.71%,46.389999,57.16
2010,9,13.17%,9.45%,44.099998,54.25
2010,10,6.34%,4.03%,49.48,58.849998
2010,11,-0.17%,0.51%,52.369999,61.040001
2010,12,4.76%,6.96%,52.860001,61.919998
2011,1,2.83%,2.05%,54.970001,65.360001
2011,2,3.16%,3.70%,56.419998,66.720001
2011,3,-0.45%,0.42%,58.02,68.940002
2011,4,2.87%,2.90%,57.720001,69.18
2011,5,-1.22%,-1.06%,59.169998,71.040001
2011,6,-2.02%,-1.79%,58.220001,69.769997
2011,7,1.67%,-2.27%,57.080002,68.43
2011,8,-5.07%,-6.09%,58.700001,67.660004
2011,9,-4.49%,-7.57%,55.200001,62.810001
2011,10,10.40%,11.37%,52.02,57.380001
2011,11,-2.69%,-0.37%,56.52,62.400002
2011,12,-0.62%,0.98%,56.380001,63.950001
2012,1,8.42%,5.07%,56.91,65.410004
2012,2,6.41%,4.22%,60.880001,68.129997
2012,3,5.05%,3.06%,64.650002,70.669998
2012,4,-1.17%,-0.64%,67.480003,72.260002
2012,5,-7.04%,-6.23%,66.690002,71.800003
2012,6,3.62%,4.05%,60.939999,66.239998
2012,7,1.00%,0.88%,64.25,69.870003
2012,8,5.19%,2.70%,65.260002,70.669998
2012,9,0.89%,2.49%,68.029999,72.139999
2012,10,-5.28%,-1.81%,68.900002,73.989998
2012,11,1.31%,0.77%,65.360001,72.540001
2012,12,-0.46%,1.29%,66.309998,73.269997
2013,1,2.67%,5.42%,66.730003,74.529999
2013,2,0.34%,1.28%,67.339996,77.779999
2013,3,3.03%,3.95%,66.870003,77.959999
2013,4,2.54%,1.61%,69.019997,80.949997
2013,5,3.58%,2.44%,70.739998,82.110001
2013,6,-2.39%,-1.43%,73.260002,84.449997
2013,7,6.31%,5.75%,71.75,83.290001
2013,8,-0.40%,-3.03%,76.290001,88.099998
2013,9,4.83%,3.90%,76.089996,85.769997
2013,10,4.96%,4.27%,78.889999,87.739998
2013,11,3.55%,2.70%,83.07,91.440002
2013,12,2.92%,2.73%,85.830002,94.059998
2014,1,-1.92%,-3.17%,87.550003,95.760002
2014,2,5.15%,4.87%,86.110001,92.839996
2014,3,-2.73%,0.51%,89.489998,96.57
2014,4,-0.32%,0.06%,88.099998,97.889999
2014,5,4.49%,2.10%,87.529999,97.410004
2014,6,3.12%,2.62%,91.419998,99.800003
2014,7,1.18%,-1.99%,94.239998,102.07
2014,8,5.01%,4.15%,94.82,99.550003
2014,9,-0.76%,-2.10%,100.019997,104.040001
2014,10,2.64%,2.75%,98.510002,101.110001
2014,11,4.55%,2.48%,101.580002,104.190002
2014,12,-2.24%,-0.04%,105.720001,106.5
2015,1,-2.08%,-2.74%,103.760002,106.489998
2015,2,7.22%,5.74%,101.330002,103.489998
2015,3,-2.36%,-1.16%,108.610001,109.110001
2015,4,1.92%,0.62%,105.599998,107.339996
2015,5,2.25%,1.30%,108.050003,108.400002
2015,6,-2.48%,-1.67%,110.639999,109.800003
2015,7,4.56%,1.70%,108.129997,108.019997
2015,8,-6.82%,-6.09%,111.970001,108.989998
2015,9,-2.20%,-2.92%,101.709999,99.949997
2015,10,11.37%,7.91%,101.940002,98.959999
2015,11,0.61%,0.60%,113.629997,106.779999
2015,12,-1.59%,-2.13%,114.480003,107.589996
2016,1,-6.91%,-5.72%,109.449997,102.580002
2016,2,-1.57%,-0.01%,103.629997,97.75
2016,3,6.85%,7.11%,103.480003,99.129997
2016,4,-3.19%,0.66%,108.540001,104.300003
2016,5,4.37%,1.73%,105.989998,105.800003
2016,6,-2.27%,0.27%,110,107
2016,7,7.15%,3.98%,107.489998,107.160004
2016,8,1.05%,0.21%,115.309998,111.400002
2016,9,2.21%,0.21%,116.480003,111.769997
2016,10,-1.46%,-2.19%,118.57,111.089996
2016,11,0.44%,4.49%,117.190002,109.099998
2016,12,1.13%,1.98%,117.459999,114.029999
2017,1,5.14%,1.86%,119.269997,116.150002
2017,2,4.38%,3.69%,125.449997,117.860001
2017,3,2.03%,0.06%,130.850006,122.809998
2017,4,2.73%,1.06%,132.490005,121.449997
2017,5,3.90%,1.01%,136.440002,122.93
2017,6,-2.32%,0.95%,141.580002,124.169998
2017,7,4.06%,1.88%,138.270004,124.989998
2017,8,2.07%,0.15%,143.720001,127.18
2017,9,-0.29%,2.44%,146.389999,127.230003
2017,10,4.61%,2.17%,145.669998,129.639999
2017,11,1.97%,3.03%,152.759995,132.830002
2017,12,0.60%,1.16%,154.199997,136.279999
2018,1,8.76%,5.23%,156.559998,137.75
2018,2,-1.29%,-3.76%,168.100006,143.979996
2018,3,-4.08%,-1.95%,167.300003,139.070007
2018,4,0.51%,0.45%,158.990005,135.289993
2018,5,5.67%,2.72%,160.520004,136.039993
2018,6,1.15%,0.70%,170.919998,140.929993
2018,7,2.80%,3.32%,170.039993,139.559998
2018,8,5.78%,3.43%,176.860001,145.190002
2018,9,-0.28%,0.20%,186.080002,149.889999
2018,10,-8.60%,-7.41%,186.869995,150.419998
2018,11,-0.26%,2.01%,170.070007,139.039993
2018,12,-8.65%,-9.16%,173.110001,143.600006
2019,1,9.01%,8.54%,150.990005,125.75
2019,2,2.99%,3.56%,167.330002,138.699997
2019,3,3.92%,1.42%,174.440002,144.380005
2019,4,5.50%,3.93%,181.509995,145.759995
2019,5,-8.23%,-6.45%,190.779999,150.800003
2019,6,7.59%,7.08%,173.479996,140.690002
2019,7,2.33%,1.41%,190.320007,151.850006
2019,8,-1.90%,-2.08%,191.429993,152.289993
2019,9,0.92%,1.78%,186.220001,147.990005
2019,10,4.38%,2.11%,189.5,151.5
2019,11,4.07%,3.79%,197.929993,155
2019,12,3.89%,2.80%,205.110001,160.259995
2020,1,3.04%,-0.06%,214.399994,164.679993
2020,2,-6.06%,-8.00%,220.139999,164.350006
